Title,Image URL,Synopsis,Genres,Released Year,Status,Other Names,Total Episodes
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,https://gogocdn.net/cover/ar-tonelico-sekai-no-owari-de-utai-tsuzukeru-shoujo.png,Plot Summary: ,"action, adventure, fantasy, sci-fi",2006,Completed,"アルトネリコ 世界の終わりで詩い続ける少女 
                           魔塔大陆～在世界终结续咏诗篇的少女 
                           魔塔大陸～在世界終結續詠詩篇的少女 
                           Ar Tonelico: The Girl Who Sings at the End of the World 
                           Ar Tonelico: Melody of Elemia",1
Arabian Nights: Sindbad no Bouken (TV),https://gogocdn.net/cover/arabian-nights-sindbad-no-bouken-tv.png,Plot Summary: ,"adventure, fantasy, magic, romance",1975,Completed,"Sindbad the Sailor, The Arabian Nights: Adventures of Sinbad, アラビアンナイト シンドバットの冒険",52
Araburu Kisetsu no Otome-domo yo.,https://gogocdn.net/cover/araburu-kisetsu-no-otome-domo-yo.png,Plot Summary: ,"drama, school, shounen",2019,Completed,"O Maidens in Your Savage Season, 荒ぶる季節の乙女どもよ。",12
Araburu Kisetsu no Otome-domo yo. (Dub),https://gogocdn.net/cover/araburu-kisetsu-no-otome-domo-yo-dub.png,Plot Summary: ,"comedy, drama, romance, school, shounen",2019,Completed,"O Maidens in Your Savage Season, 荒ぶる季節の乙女どもよ。",12
Arad: Suming Zhi Men,https://gogocdn.net/cover/arad-suming-zhi-men.png,Plot Summary: ,"action, adventure, fantasy",2017,Completed,"Alade : Suming Zhi Men, Arad: Shukumei no Mon, Arad: The Gate of Destiny, 阿拉德：宿命之門",2
Aragne no Mushikago,https://gogocdn.net/cover/aragne-no-mushikago.png,Plot Summary: ,"fantasy, horror, mystery",2018,Completed,"Aragne: Sign of Vermillion, アラーニェの虫籠",1
Araiguma Rascal,https://gogocdn.net/cover/araiguma-rascal.png,Plot Summary: ,"drama, historical, slice-of-life",1977,Completed,"Raccoon Rascal, あらいぐまラスカル",52
Arakawa under the Bridge,https://gogocdn.net/images/anime/Arakawa under the Bridge.jpg,Plot Summary: ,"comedy, romance, seinen",2010,Completed,荒川アンダー ザ ブリッジ,13
Arakawa under the Bridge x Bridge,https://gogocdn.net/images/anime/Arakawa under the Bridge x Bridge.jpg,Plot Summary: ,"comedy, romance, seinen",2010,Completed,"Arakawa Under the Bridge*2, Arakawa Under the Bridge x2, Arakawa Under the Bridge 2nd season, 荒川アンダー ザブリッジ×ブリッジ",13
Arara,https://gogocdn.net/cover/arara.png,Plot Summary: ,"avant-garde, supernatural",2014,Completed,Oh Dear,1
Arashi no Yoru ni,https://gogocdn.net/cover/arashi-no-yoru-ni.png,Plot Summary: ,"adventure, comedy, drama, fantasy",2005,Completed,"In the Night of the Storm, On A Stormy Night, Stormy Night, あらしのよるに",1
Arashi no Yoru ni (Dub),https://gogocdn.net/cover/arashi-no-yoru-ni-dub.png,Plot Summary: ,"adventure, comedy, drama, fantasy",2005,Completed,"In The Night Of The Storm, On A Stormy Night, Stormy Night, あらしのよるに",1
Arashi no Yoru ni: Himitsu no Tomodachi,https://gogocdn.net/images/anime/A/Arashi-no-Yoru-ni-Himitsu-no-Tomodachi.jpg,Plot Summary: ,"adventure, drama",2012,Completed,"On a Stormy Night: Secret Friends, One Stormy Night, あらしのよるに ひみつのともだち",26
Arashi no Yoru ni: Himitsu no Tomodachi (Dub),https://gogocdn.net/cover/arashi-no-yoru-ni-himitsu-no-tomodachi-dub.png,Plot Summary: ,"adventure, drama",2012,Completed,"On a Stormy Night: Secret Friends, One Stormy Night, あらしのよるに ひみつのともだち",26
Arata Kangatari,https://gogocdn.net/images/anime/A/Arata Kangatari.jpg,Plot Summary: ,"adventure, fantasy, shounen",2013,Completed,"Arata: The Legend, アラタカンガタリ～革神語～",12
Arata naru Sekai: Mirai-hen,https://gogocdn.net/images/1.123.jpg,Plot Summary: ,sci-fi,2012,Completed,"Arata naru Sekai: World's
                          Start
                          Load
                          End, アラタなるセカイ WORLD'S
                          START
                          LOAD
                          END",1
Arc the Lad,https://gogocdn.net/cover/arc-the-lad.png,Plot Summary: ,"action, adventure, fantasy, horror, sci-fi",1999,Completed,"Arc, アークザラッド",26
Arc the Lad (Dub),https://gogocdn.net/cover/arc-the-lad-dub.png,Plot Summary: ,"action, adventure, fantasy, horror, sci-fi",1999,Completed,Arc,26
Arcade Gamer Fubuki,https://gogocdn.net/cover/arcade-gamer-fubuki.png,Plot Summary: ,"action, comedy, ecchi, parody, sports, super-power, video-game",2002,Completed,アーケードゲーマーふぶき,4
Arcade Gamer Fubuki (Dub),https://gogocdn.net/cover/arcade-gamer-fubuki-dub.png,Plot Summary: ,"action, comedy, ecchi, parody, shounen, sports, super-power",2002,Completed,アーケードゲーマーふぶき,4
Arcade Gamer Fubuki Extra,https://gogocdn.net/cover/arcade-gamer-fubuki-extra.png,Plot Summary: ,"action, adventure, comedy, ecchi, parody, school, video-game",2008,Completed,"Arcade Gamer Fubuki Special Story, Arcade Gamer Fubuki: Paradise Beyond the Wall, アーケードゲーマーふぶき",1
Arcana Famiglia,https://gogocdn.net/images/anime/A/Arcana Famiglia.jpg,Plot Summary: ,"action, romance, shoujo",2012,Completed,"La storia della Arcana Famiglia, アルカナ・ファミリア －La storia della Arcana Famiglia－",12
Arcana Famiglia (Dub),https://gogocdn.net/cover/arcana-famiglia-dub.png,Plot Summary: ,"action, harem, romance, shounen",2012,Completed,La storia della Arcana Famiglia,12
Arcana Famiglia: Capriccio - stile Arcana Famiglia,https://gogocdn.net/images/Arcana-Famiglia-OVA.jpg,Plot Summary: ,"romance, shoujo",2013,Completed,"La Storia Della Arcana Famiglia, アルカナ・ファミリア Capriccio – stile Arcana Famiglia 奇想曲～アルカナ・ファミリア風",1
Arcana Famiglia: Capriccio - stile Arcana Famiglia (Dub),https://gogocdn.net/cover/arcana-famiglia-capriccio-stile-arcana-famiglia-dub.png,Plot Summary: ,"romance, shoujo",2013,Completed,アルカナ・ファミリア Capriccio – stile Arcana Famiglia 奇想曲～アルカナ・ファミリア風,1
Arcane (Dub),https://gogocdn.net/cover/arcane-dub.png,Plot Summary: ,"action, adventure",2021,Completed,"Arcane, Arcane: League of Legends",9
Arcane Season 2 (Dub),https://gogocdn.net/cover/arcane-season-2-dub.png,Plot Summary: ,"action, adventure, drama, fantasy, sci-fi",2024,Ongoing,Arcane: League of Legends,3
Area 88,https://gogocdn.net/images/anime/A/Area 88.jpg,Plot Summary: ,"action, drama, military, romance, shounen",2004,Completed,エリア88,12
Area 88 (Dub),https://gogocdn.net/cover/area-88-dub.png,Plot Summary: ,"action, drama, military, romance, shounen",2004,Completed,"Area 88 (2004), エリア８８",12
Area 88 Ova,https://gogocdn.net/cover/area-88-ova.png,Plot Summary: ,"action, adventure, drama, military, romance",1985,Completed,"Area 88 OVA, エリア88",2
Area no Kishi,https://gogocdn.net/images/anime/A/Area no Kishi.jpg,Plot Summary: ,"comedy, school, shounen, sports",2012,Completed,"The Knight in the Area, エリアの騎士",37
Arei no Kagami: Way to the Virgin Space,https://gogocdn.net/images/Arei no Kagami - Way to the Virgin Space.jpg,Plot Summary: ,"action, adventure, sci-fi",1985,Completed,"Arei's Mirror ~ Way to the Virgin Space, アレイの鏡 ~ Way to the Virgin Space",1
Argento Soma,https://gogocdn.net/cover/argento-soma.png,Plot Summary: ,"action, adventure, drama, mecha, military, sci-fi",2000,Completed,"AΠHENTO ΣOMA, アルジェント ソーマ",25
Argento Soma (Dub),https://gogocdn.net/cover/argento-soma-dub.png,Plot Summary: ,"action, adventure, drama, mecha, military, sci-fi",2000,Completed,AΠHENTO ΣOMA,25
Argento Soma Special,https://gogocdn.net/cover/argento-soma-special.png,Plot Summary: ,"action, mecha, sci-fi",2002,Completed,"Argento Soma OVA, Argento Soma Episode 24.5, Argento Soma: Hitori to Hitori; アルジェントソーマ 孤独[ひとり]と孤独[ひとり]",1
Argento Soma: Hitori to Hitori (Dub),https://gogocdn.net/cover/argento-soma-hitori-to-hitori-dub.png,Plot Summary: ,"action, mecha, sci-fi",2002,Completed,アルジェントソーマ 孤独[ひとり]と孤独[ひとり],1
Argonavis from BanG Dream!,https://gogocdn.net/cover/argonavis-from-bang-dream.png,Plot Summary: ,music,2020,Completed,アルゴナビス from BanG Dream!,13
Argonavis Movie: Axia,https://gogocdn.net/cover/argonavis-movie-axia.png,Plot Summary: ,drama,2023,Upcoming,Gekijouban Argonavis: Axia; 劇場版アルゴナビス AXIA（アクシア）,0
Aria the Animation,https://gogocdn.net/images/anime/A/Aria the Animation.jpg,Plot Summary: ,"fantasy, sci-fi, slice-of-life",2005,Completed,,13
Aria the Animation (Dub),https://gogocdn.net/cover/aria-the-animation-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2005,Completed,ARIA The ANIMATION,13
Aria The Avvenire,https://gogocdn.net/cover/aria-the-avvenire.jpg,Plot Summary: ,"fantasy, sci-fi, slice-of-life",2015,Completed,,3
Aria the Avvenire (Dub),https://gogocdn.net/cover/aria-the-avvenire-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2015,Completed,ARIA The AVVENIRE,3
Aria the Benedizione,https://gogocdn.net/cover/aria-the-benedizione.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2021,Completed,,1
Aria the Crepuscolo,https://gogocdn.net/cover/aria-the-crepuscolo.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2021,Completed,,1
Aria the Natural,https://gogocdn.net/images/anime/A/Aria the Natural.jpg,Plot Summary: ,"fantasy, sci-fi, slice-of-life",2006,Completed,,26
Aria the Natural (Dub),https://gogocdn.net/cover/aria-the-natural-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2006,Completed,"Aria 2, ARIA The NATURAL",26
Aria the Natural OVA,https://gogocdn.net/images/anime/A/Aria the Natural.jpg,Plot Summary: ,"fantasy, sci-fi, slice-of-life",2006,Completed,,1
Aria the Origination,https://gogocdn.net/images/anime/A/Aria the Origination.jpg,Plot Summary: ,"fantasy, sci-fi, slice-of-life",2008,Completed,,13
Aria the Origination (Dub),https://gogocdn.net/cover/aria-the-origination-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2008,Completed,"Aria Season 3, ARIA The ORIGINATION",13
Aria the Origination Picture Drama,https://gogocdn.net/cover/aria-the-origination-picture-drama.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2008,Completed,ARIA The ORIGINATION (アリア ジ・オリジネーション ピクチャードラマ),7
Aria the Origination Picture Drama (Dub),https://gogocdn.net/cover/aria-the-origination-picture-drama-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2008,Completed,ARIA The ORIGINATION (アリア ジ・オリジネーション ピクチャードラマ),7
Aria the OVA: Arietta,https://gogocdn.net/cover/aria-the-ova-arietta.png,Plot Summary: ,"fantasy, iyashikei, sci-fi, shounen, slice-of-life",2007,Completed,ARIA The OVA ~ARIETTA~ (アリア ジ オーブイエー ~アリエッタ~),1
Aria the OVA: Arietta (Dub),https://gogocdn.net/cover/aria-the-ova-arietta-dub.png,Plot Summary: ,"fantasy, sci-fi, shounen, slice-of-life",2007,Completed,ARIA The OVA ~ARIETTA~ (アリア ジ オーブイエー ~アリエッタ~),1
Ariel Deluxe,https://gogocdn.net/cover/ariel-deluxe.png,Plot Summary: ,"action, comedy, mecha, sci-fi",1991,Completed,DELUXE ARIEL (エリアル),2
Ariel Visual,https://gogocdn.net/cover/ariel-visual.png,Plot Summary: ,"action, comedy, mecha, sci-fi",1989,Completed,ARIEL (エリアル) VISUAL,2
Arifureta Shokugyou de Sekai Saikyou,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou.png,Plot Summary: ,"action, adventure, fantasy, harem",2019,Completed,"Arifureta: From Commonplace to World's Strongest, ありふれた職業で世界最強",13
Arifureta Shokugyou de Sekai Saikyou (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-dub.png,Plot Summary: ,"action, adventure, fantasy, harem",2019,Completed,"Arifureta: From Commonplace to World's Strongest, ありふれた職業で世界最強",13
Arifureta Shokugyou de Sekai Saikyou 2nd Season,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-2nd-season.png,Plot Summary: ,"action, adventure, fantasy, harem",2022,Completed,From Common Job Class to the Strongest in the World 2nd Season; ありふれた職業で世界最強 第2期,12
Arifureta Shokugyou de Sekai Saikyou 2nd Season (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-2nd-season-dub.png,Plot Summary: ,"action, adventure, fantasy, harem",2022,Completed,From Common Job Class to the Strongest in the World 2nd Season; ありふれた職業で世界最強 第2期,12
Arifureta Shokugyou de Sekai Saikyou 2nd Season Special,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-2nd-season-special.png,Plot Summary: ,"action, adventure, fantasy, harem",2022,Completed,"From Common Job Class to the Strongest in the World 2nd Season, ありふれた職業で世界最強 2nd season",1
Arifureta Shokugyou de Sekai Saikyou 2nd Season Special (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-2nd-season-special-dub.png,Plot Summary: ,"action, adventure, fantasy, harem",2022,Completed,"From Common Job Class to the Strongest in the World 2nd Season, ありふれた職業で世界最強 2nd season",1
Arifureta Shokugyou de Sekai Saikyou Recap,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-recap.png,Plot Summary: ,"action, adventure, fantasy, harem",2018,Completed,ありふれた職業で世界最強 総集編 オルクス大迷宮,1
Arifureta Shokugyou de Sekai Saikyou Recap (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-recap-dub.png,Plot Summary: ,"action, adventure, fantasy, harem",2019,Completed,ありふれた職業で世界最強 総集編 オルクス大迷宮,1
Arifureta Shokugyou de Sekai Saikyou Season 3,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-season-3.png,Plot Summary: ,"action, adventure, fantasy, harem, isekai",2024,Ongoing,"Arifureta: From Commonplace to World's Strongest Season , ありふれた職業で世界最強 season 3",5
Arifureta Shokugyou de Sekai Saikyou Season 3 (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-season-3-dub.png,Plot Summary: ,"action, adventure, fantasy, harem, isekai",2024,Ongoing,"Arifureta: From Commonplace to World's Strongest Season , ありふれた職業で世界最強 season 3",3
Arifureta Shokugyou de Sekai Saikyou Specials,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-specials.png,Plot Summary: ,"action, adventure, fantasy, harem",2019,Completed,Arifureta: From Commonplace to World's Strongest,2
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-maboroshi-no-bouken-to-kiseki-no-kaigou.png,Plot Summary: ,"action, adventure, fantasy, harem, isekai",2022,Completed,ありふれた職業で世界最強 「幻の冒険と奇跡の邂逅」; Arifureta Shokugyou de Sekaisaikyou: Maboroshi no Bōken to Kiseki no Kaikō,2
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou (Dub),https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-maboroshi-no-bouken-to-kiseki-no-kaigou-dub.png,Plot Summary: ,"action, adventure, dub, fantasy, harem, isekai",2022,Completed,"Arifureta: Phantom Adventure and Miraculous Encounter, Arifureta: From Commonplace to World's Strongest Season OVA, Phantom Adventure and Miraculous Encounter, Arifureta Shokugyou de Sekai Saikyou 2nd Season OVA, ありふれた職業で世界最強 「幻の冒険と奇跡の邂逅」",2
Arifureta Shokugyou de Sekai Saikyou: Prologue,https://gogocdn.net/cover/arifureta-shokugyou-de-sekai-saikyou-prologue.png,Plot Summary: ,school,2020,Completed,"Arifureta Shokugyou de Sekai Saikyou Episode 0, ありふれた職業で世界最強 プロローグ",1
Arion,https://gogocdn.net/cover/arion.png,Plot Summary: ,"action, adventure, drama, fantasy, magic, seinen",1986,Completed,ネオ・ヒロイック・ファンタジア　アリオン,1
Arisa☆Good Luck,https://gogocdn.net/cover/arisagood-luck.png,Plot Summary: ,"action, comedy",1999,Completed,ありさ☆Good Luck,1
Ark,https://gogocdn.net/cover/ark.jpg,Plot Summary: ,"action, fantasy, mecha, military, sci-fi, supernatural",2005,Completed,,1
Ark (2004),https://gogocdn.net/cover/ark-2004.png,Plot Summary: ,"action, fantasy, mecha, military, sci-fi, supernatural",2005,Completed,,1
Arknights: Fuyukomori Kaerimichi,https://gogocdn.net/cover/arknights-fuyukomori-kaerimichi-1696006353.png,Plot Summary: ,"action, fantasy",2023,Completed,"アークナイツ 冬隠帰路 ; Arknights: Perish in Frost, Arknights: Touin Kiro",8
Arknights: Reimei Zensou,https://gogocdn.net/cover/arknights-reimei-zensou-1666983946.png,Plot Summary: ,"action, fantasy",2022,Completed,Arknights Animation: Prelude to Dawn; Arknights: Prelude to Dawn; アークナイツ -黎明前奏-,8
Armed Blue Gunvolt,https://gogocdn.net/cover/armed-blue-gunvolt.png,Plot Summary: ,"action, sci-fi, super-power",2017,Completed,"Azure Striker Gunvolt, 蒼き雷霆〈アームドブルー〉 ガンヴォルト",1
Armitage III,https://gogocdn.net/cover/armitage-iii.png,Plot Summary: ,"action, adventure, mecha, police, romance, sci-fi",1995,Completed,アミテージ・ザ・サード,4
Armitage III (Dub),https://gogocdn.net/cover/armitage-iii-dub.png,Plot Summary: ,"action, adventure, mecha, police, romance, sci-fi",1995,Completed,アミテージ・ザ・サード,4
Armitage III Dual-Matrix (Dub),https://gogocdn.net/cover/armitage-iii-dual-matrix-dub.png,Plot Summary: ,"action, adventure, mecha, sci-fi",2002,Completed,"Armitage: Dual-Matrix, Amiteeji the Third Gekijouban, Armitage III: Dual Matrix",1
Armitage III: Polymatrix,https://gogocdn.net/images/anime/A/76425.jpg,Plot Summary: ,"action, adventure, mecha, police, romance, sci-fi",1995,Completed,"Armitage III Poly-Matrix, Armitage III the Movie: Poly-Matrix, Armitage III: Poly Matrix, アミテージ・ザ・サード POLY-MATRIX",1
Armitage: Dual Matrix,https://gogocdn.net/images/anime/A/1617.jpg,Plot Summary: ,"action, adventure, mecha, sci-fi",2002,Completed,"Armitage: Dual-Matrix, Amiteeji the Third Gekijouban, Armitage III: Dual Matrix, アミテージ・ザ・サード DUAL-MATRIX",1
Armored Trooper Votoms Case Irvine,https://gogocdn.net/images/votoms_case_irvine.jpg,Plot Summary: ,"action, drama, mecha, military, sci-fi",2010,Completed,装甲騎兵ボトムズ Case; IRVINE,1
Armored Trooper Votoms Finder,https://gogocdn.net/images/votoms_finder.jpg,Plot Summary: ,"action, drama, mecha, military, sci-fi",2010,Completed,ボトムズファインダー,1
Armored Trooper Votoms Pailsen Files,https://gogocdn.net/images/votoms_Pailsen_Files.jpg,Plot Summary: ,"mecha, military, sci-fi, seinen",2009,Completed,装甲騎兵ボトムズ ペールゼン・ファイルズ,1
Armored Trooper Votoms: Big Battle,https://gogocdn.net/images/votoms_big_battle.jpg,Plot Summary: ,"action, drama, mecha, military, sci-fi",1986,Completed,装甲騎兵ボトムズ　ビッグバトル,1
Armored Trooper Votoms: Red Shoulder Document,https://gogocdn.net/images/red_shoulder.jpg,Plot Summary: ,"drama, mecha, military, sci-fi",1988,Completed,"Armored Trooper Votoms: Red Shoulder Document - Yabo no Roots, Armored Trooper Votoms: The Red Shoulder Document - Roots of Ambition, 装甲騎兵ボトムズ　レッドショルダードキュメント野望のルーツ",1
Armored Trooper Votoms: The Last Red Shoulder,https://gogocdn.net/images/votoms_last_red_shoulder.jpg,Plot Summary: ,"action, drama, mecha, military, sci-fi",1985,Completed,装甲騎兵ボトムズ　ザ・ラストレッドショルダー,1
ARP Backstage Pass,https://gogocdn.net/cover/arp-backstage-pass.png,Plot Summary: ,music,2020,Completed,,10
Arrow Emblem Grand Prix no Taka,https://gogocdn.net/cover/arrow-emblem-grand-prix-no-taka.png,Plot Summary: ,drama,1977,Completed,"Arrow Emblem: Hawk of the Grand Prix, アローエンブレム　グランプリの鷹",1
Ars no Kyojuu,https://gogocdn.net/cover/ars-no-kyojuu-1672328434.png,Plot Summary: ,"action, adventure, fantasy",2023,Completed,アルスの巨獣 ; Giant Beasts of Ars,12
Arslan Senki (TV),https://gogocdn.net/images/upload/72332.jpg,Plot Summary: ,"action, adventure, drama, fantasy, historical, supernatural",2015,Completed,"The Heroic Legend of Arslan, アルスラーン戦記",25
Arslan Senki (TV) (Dub),https://gogocdn.net/cover/arslan-senki-tv-dub.png,Plot Summary: ,"action, adventure, drama, fantasy, historical, shounen",2015,Completed,The Heroic Legend of Arslan,25
Arslan Senki (TV) OVA,https://gogocdn.net/cover/arslan-senki-tv-ova.jpg,Plot Summary: ,"adventure, fantasy, historical, shounen",2016,Completed,アルスラーン戦記,1
Arslan Senki (TV): Fuujin Ranbu,https://gogocdn.net/cover/arslan-senki-tv-fuujin-ranbu.jpg,Plot Summary: ,"action, adventure, drama, fantasy, historical, supernatural",2016,Completed,"The Heroic Legend of Arslan: Dust Storm Dance, アルスラーン戦記 風塵乱舞",8
Arslan Senki (TV): Fuujin Ranbu (Dub),https://gogocdn.net/cover/arslan-senki-tv-fuujin-ranbu-dub.jpg,Plot Summary: ,"action, adventure, drama, fantasy, historical, supernatural",2016,Completed,"The Heroic Legend of Arslan: Dust Storm Dance, アルスラーン戦記 風塵乱舞",8
Arte,https://gogocdn.net/cover/arte.png,Plot Summary: ,"drama, historical, romance, seinen, slice-of-life",2020,Completed,アルテ,12
Arte (Dub),https://gogocdn.net/cover/arte-dub.png,Plot Summary: ,"drama, historical, romance, seinen, slice-of-life",2020,Completed,アルテ,12
Artiswitch,https://gogocdn.net/cover/artiswitch.png,Plot Summary: ,"slice-of-life, supernatural",2021,Completed,アーティスウィッチ,6
Artiswitch Collection/2021,https://gogocdn.net/cover/artiswitch-collection2021.png,Plot Summary: ,"music, slice-of-life",2021,Completed,Nina's Costume Collection,1
Artiswitch Collection/Ruru,https://gogocdn.net/cover/artiswitch-collectionruru.png,Plot Summary: ,"music, slice-of-life",2022,Completed,Ruru's Costume Collection,1
Artiswitch Picture Drama,https://gogocdn.net/cover/artiswitch-picture-drama.png,Plot Summary: ,"slice-of-life, supernatural",2021,Completed,,5
Artiswitch: Ruru's Episodes of Memories,https://gogocdn.net/cover/artiswitch-rurus-episodes-of-memories.png,Plot Summary: ,"slice-of-life, supernatural",2023,Completed,Artiswitch（アーティスウィッチ）Ruru's Episodes of Memories,2
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,https://gogocdn.net/cover/yuri-no-aida-ni-hasamareru-aru-asa-dummyhead-ni-natteita-ore-kun-no-jinsei.png,Plot Summary: ,"shoujo-ai, slice-of-life",2022,Completed,"My Life After I Became a Dummy Head Mic One Morning, Aru Asa Dummy Head Mike ni Natteita Ore-kun no Jinsei ; ある朝ダミーヘッドマイクになっていた俺クンの人生",12
Aru Hi Inu no Kuni kara Tegami ga Kite,https://gogocdn.net/cover/aru-hi-inu-no-kuni-kara-tegami-ga-kite.png,Plot Summary: ,"drama, shoujo",2015,Completed,"One Day A Letter Arrives from the Dog Kingdom, ある日 犬の国から手紙が来て",1
Aru Zombie Shoujo no Sainan,https://gogocdn.net/cover/aru-zombie-shoujo-no-sainan.png,Plot Summary: ,"action, horror",2018,Completed,"The Misfortune of a Certain Zombie Girl, あるゾンビ少女の災難",1
Arve Rezzle: Kikaijikake no Yoseitachi (2013),https://gogocdn.net/images/Kikaijikake no Yoseitachi.jpg,Plot Summary: ,"action, drama, mystery, sci-fi, thriller",2013,Completed,アルヴ・レズル -機械仕掛けの妖精たち-,1
"As An Immortal, I Only Learn Forbidden Skills",https://gogocdn.net/cover/as-an-immortal-i-only-learn-forbidden-skills.png,Plot Summary: ,"action, adventure, fantasy",2020,Ongoing,"As An Immortal I Only Learn Forbidden Skills, Forbidden Immortality, 长生不死的我只练禁术",46
Asa Made Jugyou Chu (2012),https://gogocdn.net/images/Asa Made Jugyou Chu.jpg,Plot Summary: ,"comedy, ecchi, romance, school",2012,Completed,朝まで授業chu!,1
Asagao to Kase-san.,https://gogocdn.net/cover/asagao-to-kase-san.png,Plot Summary: ,"romance, school, shoujo-ai",2018,Completed,"Kase-san and Morning Glories, あさがおと加瀬さん。",1
Asagao to Kase-san. (Dub),https://gogocdn.net/cover/asagao-to-kase-san-dub.png,Plot Summary: ,"romance, school, shoujo-ai",2018,Completed,"Kase-san and Morning Glories, あさがおと加瀬さん。",1
Asagiri no Miko,https://gogocdn.net/cover/asagiri-no-miko.png,Plot Summary: ,"action, comedy, fantasy, seinen, supernatural",2002,Completed,"Shrine of the Morning Mist, Maidens of Morning Mist, Priestesses of the Morning Mist, 朝霧の巫女",26
Asagiri no Miko (Dub),https://gogocdn.net/cover/asagiri-no-miko-dub.png,Plot Summary: ,"action, comedy, drama, fantasy, magic, school, sci-fi, shounen, slice-of-life, super-power, supernatural",2002,Completed,Shrine of the Morning Mist,26
Asatir 2: Mirai no Mukashi Banashi,https://gogocdn.net/cover/asatir-2-mirai-no-mukashi-banashi.png,Plot Summary: ,adventure,2024,Ongoing,"Future's Folktales 2, アサティール2 未来の昔ばなし",2
Asatir: Mirai no Mukashibanashi,https://gogocdn.net/cover/asatir-mirai-no-mukashibanashi.png,Plot Summary: ,adventure,2020,Completed,"Future Folktales, アサティール 未来の昔ばなし",13
Asatte Dance,https://gogocdn.net/cover/asatte-dance.png,Plot Summary: ,"comedy, drama, ecchi, romance, seinen",1991,Completed,"Dance Till Tomorrow, あさってDance",2
Asatte no Houkou,https://gogocdn.net/images/anime/A/Asatte no Houkou.jpg,Plot Summary: ,"drama, fantasy, slice-of-life, supernatural",2006,Completed,"Living for the Day After Tomorrow, A Direction of the Day After Tomorrow, Towards the Day After Tomorrow, あさっての方向。",12
Asatte no Houkou (Dub),https://gogocdn.net/cover/asatte-no-houkou-dub.png,Plot Summary: ,"drama, supernatural",2006,Completed,Living for the Day After Tomorrow,12
Ashinaga Ojisan (Dub),https://gogocdn.net/cover/ashinaga-ojisan-dub.png,Plot Summary: ,"comedy, drama, shoujo",1979,Completed,"Daddy Long-Legs, あしながおじさん",1
Ashita e Attack!,https://gogocdn.net/cover/ashita-e-attack.png,Plot Summary: ,"drama, school, sports",1977,Completed,"Attack on Tomorrow, あしたへアタック！",23
Ashita e Free Kick,https://gogocdn.net/cover/ashita-e-free-kick.png,Plot Summary: ,sports,1992,Completed,"Free Kick Toward Tomorrow, あしたへフリーキック",1
Ashita no Eleven-tachi,https://gogocdn.net/cover/ashita-no-eleven-tachi.png,Plot Summary: ,sports,1979,Completed,"Ashita no Eleventachi, Tomorrow's Eleven, あしたの勇者(イレブン)たち",1
Ashita no Joe,https://gogocdn.net/images/anime/A/ashita-no-joe.jpg,Plot Summary: ,"drama, sports",1970,Completed,"Tomorrow's Joe, Rocky Joe, Champion Joe, あしたのジョー",79
Ashita no Joe (Movie),https://gogocdn.net/cover/ashita-no-joe-movie.png,Plot Summary: ,"drama, shounen, sports",1980,Completed,"Tomorrow's Joe The Movie, あしたのジョー (1980)",1
Ashita no Joe (Movie) (Dub),https://gogocdn.net/cover/ashita-no-joe-movie-dub.png,Plot Summary: ,"drama, shounen, sports",1980,Completed,"Tomorrow's Joe The Movie, あしたのジョー (1980)",1
Ashita no Joe 2,https://gogocdn.net/images/anime/A/Ashita-no-Joe-2.jpg,Plot Summary: ,"drama, sports",1980,Completed,"Rocky Joe 2, Tomorrow's Joe 2, あしたのジョー２",47
